,日期,星期,最高温度,最低温度,天气,风向
2096,2016/10/9, 星期日 ,18℃,14℃,小雨,东北风 2级
2097,2016/10/10, 星期一 ,18℃,14℃,小雨,东北风 2级
2098,2016/10/11, 星期二 ,17℃,13℃,阴,东风 1级
2099,2016/10/12, 星期三 ,18℃,13℃,小雨,东北风 1级
2100,2016/10/13, 星期四 ,21℃,14℃,多云,东南风 1级
2101,2016/10/14, 星期五 ,18℃,14℃,阴,东风 2级
2102,2016/10/15, 星期六 ,21℃,15℃,阴,东南风 1级
2103,2016/10/16, 星期日 ,24℃,16℃,阴,西风 1级
2104,2016/10/17, 星期一 ,25℃,16℃,多云,东南风 2级
2105,2016/10/18, 星期二 ,23℃,17℃,多云,北风 2级
2106,2016/10/19, 星期三 ,21℃,17℃,阴,西北风 1级
2107,2016/10/20, 星期四 ,22℃,17℃,小雨,西北风 1级
2108,2016/10/21, 星期五 ,22℃,18℃,小雨,西北风 2级
2109,2016/10/22, 星期六 ,22℃,16℃,阴,东北风 3级
2110,2016/10/23, 星期日 ,19℃,16℃,小雨,北风 2级
2111,2016/10/24, 星期一 ,21℃,16℃,阴,西风 1级
2112,2016/10/25, 星期二 ,20℃,15℃,阴,东北风 2级
2113,2016/10/26, 星期三 ,20℃,15℃,阴,东北风 2级
2114,2016/10/27, 星期四 ,21℃,13℃,阴,东北风 2级
2115,2016/10/28, 星期五 ,15℃,8℃,阴,东风 3级
2116,2016/10/29, 星期六 ,15℃,9℃,多云,东风 2级
2117,2016/10/30, 星期日 ,15℃,11℃,阴,东风 2级
2118,2016/10/31, 星期一 ,18℃,10℃,多云,东南风 2级
2119,2016/11/1, 星期二 ,16℃,11℃,阴,南风 1级
2120,2016/11/2, 星期三 ,18℃,11℃,多云,北风 微风
2121,2016/11/3, 星期四 ,18℃,11℃,多云,南风 1级
2122,2016/11/4, 星期五 ,18℃,11℃,多云,北风 2级
2123,2016/11/5, 星期六 ,19℃,14℃,阴,东风 1级
2124,2016/11/6, 星期日 ,18℃,14℃,小雨,北风 2级
2125,2016/11/7, 星期一 ,16℃,9℃,小雨,西风 3级
2126,2016/11/8, 星期二 ,13℃,9℃,小雨,东风 2级
2127,2016/11/9, 星期三 ,16℃,8℃,阴,东南风 2级
2128,2016/11/10, 星期四 ,14℃,7℃,阴,北风 微风
2129,2016/11/11, 星期五 ,13℃,9℃,阴,西北风 2级
2130,2016/11/12, 星期六 ,15℃,8℃,晴,东南风 1级
2131,2016/11/13, 星期日 ,16℃,10℃,晴,东南风 1级
2132,2016/11/14, 星期一 ,19℃,12℃,多云,南风 1级
2133,2016/11/15, 星期二 ,17℃,13℃,阴,东北风 1级
2134,2016/11/16, 星期三 ,19℃,12℃,阴,东南风 1级
2135,2016/11/17, 星期四 ,19℃,12℃,多云,东风 2级
2136,2016/11/18, 星期五 ,20℃,13℃,阴,东北风 1级
2137,2016/11/19, 星期六 ,20℃,13℃,多云,西北风 1级
2138,2016/11/20, 星期日 ,19℃,12℃,阴,东南风 2级
2139,2016/11/21, 星期一 ,17℃,12℃,阴,北风 2级
2140,2016/11/22, 星期二 ,11℃,6℃,阴,东北风 4级
2141,2016/11/23, 星期三 ,9℃,4℃,阴,南风 1级
2142,2016/11/24, 星期四 ,8℃,5℃,阴,东风 1级
2143,2016/11/25, 星期五 ,10℃,3℃,多云,西南风 2级
2144,2016/11/26, 星期六 ,13℃,5℃,多云,南风 1级
2145,2016/11/27, 星期日 ,14℃,6℃,多云,西风 2级
2146,2016/11/28, 星期一 ,11℃,7℃,阴,北风 2级
2147,2016/11/29, 星期二 ,13℃,5℃,多云,北风 1级
2148,2016/11/30, 星期三 ,16℃,6℃,多云,东南风 2级
2149,2016/12/1, 星期四 ,11℃,7℃,阴,北风 1级
2150,2016/12/2, 星期五 ,11℃,8℃,小雨,东北风 2级
2151,2016/12/3, 星期六 ,14℃,5℃,多云,西南风 2级
2152,2016/12/4, 星期日 ,13℃,5℃,多云,东风 1级
2153,2016/12/5, 星期一 ,16℃,5℃,晴,西风 2级
2154,2016/12/6, 星期二 ,14℃,4℃,多云,西南风 1级
2155,2016/12/7, 星期三 ,14℃,3℃,晴,南风 2级
2156,2016/12/8, 星期四 ,13℃,5℃,晴,西风 1级
2157,2016/12/9, 星期五 ,12℃,6℃,阴,南风 1级
2158,2016/12/10, 星期六 ,13℃,5℃,阴,东北风 2级
2159,2016/12/11, 星期日 ,10℃,8℃,阴,东北风 1级
2160,2016/12/12, 星期一 ,14℃,8℃,多云,东南风 1级
2161,2016/12/13, 星期二 ,13℃,7℃,多云,东北风 1级
2162,2016/12/14, 星期三 ,14℃,8℃,阴,西南风 1级
2163,2016/12/15, 星期四 ,14℃,6℃,阴,西南风 1级
2164,2016/12/16, 星期五 ,12℃,5℃,阴,东风 2级
2165,2016/12/17, 星期六 ,11℃,7℃,阴,南风 2级
2166,2016/12/18, 星期日 ,12℃,5℃,多云,东南风 2级
2167,2016/12/19, 星期一 ,13℃,7℃,多云,东南风 1级
2168,2016/12/20, 星期二 ,11℃,8℃,阴,北风 1级
2169,2016/12/21, 星期三 ,14℃,5℃,多云,西风 1级
2170,2016/12/22, 星期四 ,14℃,6℃,晴,东南风 2级
2171,2016/12/23, 星期五 ,12℃,7℃,阴,东北风 1级
2172,2016/12/24, 星期六 ,8℃,7℃,小雨,东北风 2级
2173,2016/12/25, 星期日 ,11℃,6℃,小雨,东北风 2级
2174,2016/12/26, 星期一 ,12℃,4℃,多云,西风 2级
2175,2016/12/27, 星期二 ,13℃,3℃,多云,东南风 1级
2176,2016/12/28, 星期三 ,12℃,5℃,阴,西北风 2级
2177,2016/12/29, 星期四 ,11℃,5℃,多云,北风 2级
2178,2016/12/30, 星期五 ,10℃,6℃,阴,北风 1级
2179,2016/12/31, 星期六 ,11℃,7℃,阴,东北风 1级
2180,2017/1/1, 星期日 ,12℃,5℃,多云,南风 1级
2181,2017/1/2, 星期一 ,14℃,4℃,多云,南风 1级
2182,2017/1/3, 星期二 ,13℃,5℃,多云,西风 1级
2183,2017/1/4, 星期三 ,11℃,6℃,阴,西风 1级
2184,2017/1/5, 星期四 ,14℃,5℃,多云,东南风 2级
2185,2017/1/6, 星期五 ,13℃,7℃,阴,东风 2级
2186,2017/1/7, 星期六 ,13℃,7℃,多云,北风 1级
2187,2017/1/8, 星期日 ,11℃,8℃,阴,东南风 1级
2188,2017/1/9, 星期一 ,9℃,7℃,小雨,东北风 2级
2189,2017/1/10, 星期二 ,8℃,5℃,阴,东北风 2级
2190,2017/1/11, 星期三 ,9℃,2℃,阴,北风 微风
2191,2017/1/12, 星期四 ,13℃,3℃,晴,南风 2级
2192,2017/1/13, 星期五 ,12℃,1℃,晴,东南风 1级
2193,2017/1/14, 星期六 ,11℃,4℃,多云,东南风 1级
2194,2017/1/15, 星期日 ,10℃,6℃,阴,东北风 2级
2195,2017/1/16, 星期一 ,7℃,4℃,小雨,西北风 1级
2196,2017/1/17, 星期二 ,10℃,3℃,多云,东北风 2级
2197,2017/1/18, 星期三 ,10℃,6℃,阴,北风 2级
2198,2017/1/19, 星期四 ,11℃,5℃,阴,东北风 1级
2199,2017/1/20, 星期五 ,8℃,4℃,阴,东北风 1级
2200,2017/1/21, 星期六 ,12℃,3℃,多云,南风 1级
2201,2017/1/22, 星期日 ,10℃,4℃,阴,北风 微风
2202,2017/1/23, 星期一 ,11℃,6℃,阴,东风 1级
2203,2017/1/24, 星期二 ,12℃,6℃,阴,西风 2级
2204,2017/1/25, 星期三 ,14℃,6℃,阴,东南风 2级
2205,2017/1/26, 星期四 ,15℃,6℃,阴,西风 1级
2206,2017/1/27, 星期五 ,13℃,5℃,阴,西风 1级
2207,2017/1/28, 星期六 ,13℃,6℃,阴,东北风 1级
2208,2017/1/29, 星期日 ,13℃,6℃,多云,东北风 2级
2209,2017/1/30, 星期一 ,12℃,6℃,小雨,北风 2级
2210,2017/1/31, 星期二 ,9℃,6℃,小雨,南风 1级
2211,2017/2/1, 星期三 ,9℃,6℃,阴,东风 1级
2212,2017/2/2, 星期四 ,8℃,6℃,阴,东北风 2级
2213,2017/2/3, 星期五 ,10℃,4℃,多云,南风 1级
2214,2017/2/4, 星期六 ,12℃,6℃,多云,东风 1级
2215,2017/2/5, 星期日 ,12℃,7℃,多云,西风 1级
2216,2017/2/6, 星期一 ,13℃,8℃,多云,东北风 2级
2217,2017/2/7, 星期二 ,9℃,4℃,小雨,东北风 4级
2218,2017/2/8, 星期三 ,12℃,5℃,多云,西南风 2级
2219,2017/2/9, 星期四 ,11℃,2℃,多云,西南风 2级
2220,2017/2/10, 星期五 ,10℃,5℃,阴,西风 2级
2221,2017/2/11, 星期六 ,11℃,3℃,阴,南风 2级
2222,2017/2/12, 星期日 ,12℃,3℃,多云,西风 1级
2223,2017/2/13, 星期一 ,12℃,6℃,阴,西北风 2级
2224,2017/2/14, 星期二 ,12℃,7℃,阴,东南风 2级
2225,2017/2/15, 星期三 ,14℃,5℃,阴,西南风 1级
2226,2017/2/16, 星期四 ,16℃,6℃,晴,东北风 1级
2227,2017/2/17, 星期五 ,19℃,6℃,晴,东南风 2级
2228,2017/2/18, 星期六 ,17℃,6℃,阴,北风 1级
2229,2017/2/19, 星期日 ,17℃,7℃,多云,北风 2级
2230,2017/2/20, 星期一 ,16℃,10℃,小雨,东北风 2级
2231,2017/2/21, 星期二 ,12℃,8℃,小雨,东风 1级
2232,2017/2/22, 星期三 ,13℃,7℃,阴,西风 2级
2233,2017/2/23, 星期四 ,12℃,5℃,阴,东南风 1级
2234,2017/2/24, 星期五 ,11℃,4℃,多云,东南风 1级
2235,2017/2/25, 星期六 ,14℃,4℃,多云,东南风 2级
2236,2017/2/26, 星期日 ,13℃,6℃,阴,西风 2级
2237,2017/2/27, 星期一 ,13℃,6℃,多云,东南风 2级
2238,2017/2/28, 星期二 ,13℃,5℃,多云,北风 2级
2239,2017/3/1, 星期三 ,18℃,7℃,多云,南风 2级
2240,2017/3/2, 星期四 ,14℃,9℃,阴,北风 2级
2241,2017/3/3, 星期五 ,13℃,8℃,阴,西风 1级
2242,2017/3/6, 星期一 ,13℃,8℃,小雨,北风 1级
2243,2017/3/7, 星期二 ,13℃,7℃,阴,西南风 1级
2244,2017/3/8, 星期三 ,14℃,7℃,阴,北风 2级
2245,2017/3/9, 星期四 ,12℃,8℃,阴,北风 2级
2246,2017/3/10, 星期五 ,12℃,9℃,小雨,北风 微风
2247,2017/3/11, 星期六 ,15℃,11℃,小雨,北风 2级
2248,2017/3/12, 星期日 ,12℃,10℃,小雨,东北风 3级
2249,2017/3/13, 星期一 ,10℃,7℃,阴,东风 2级
2250,2017/3/14, 星期二 ,13℃,8℃,多云,东南风 2级
2251,2017/3/15, 星期三 ,11℃,7℃,小雨,东南风 2级
2252,2017/3/16, 星期四 ,14℃,9℃,晴,东北风 1级
2253,2017/3/17, 星期五 ,16℃,9℃,阴,西北风 1级
2254,2017/3/18, 星期六 ,16℃,9℃,阴,北风 2级
2255,2017/3/19, 星期日 ,15℃,8℃,阴,东北风 2级
2256,2017/3/20, 星期一 ,19℃,9℃,多云,西风 1级
2257,2017/3/21, 星期二 ,14℃,9℃,小雨,东风 1级
2258,2017/3/22, 星期三 ,16℃,10℃,阴,北风 2级
2259,2017/3/23, 星期四 ,14℃,10℃,阴,东风 3级
2260,2017/3/24, 星期五 ,14℃,7℃,阴,西南风 2级
2261,2017/3/25, 星期六 ,16℃,9℃,阴,西风 3级
2262,2017/3/26, 星期日 ,19℃,8℃,多云,南风 3级
2263,2017/3/27, 星期一 ,21℃,10℃,多云,东南风 2级
2264,2017/3/28, 星期二 ,23℃,12℃,多云,南风 2级
2265,2017/3/29, 星期三 ,21℃,13℃,阴,东风 3级
2266,2017/3/30, 星期四 ,24℃,12℃,多云,西风 4级
2267,2017/3/31, 星期五 ,22℃,13℃,阴,东风 3级
2268,2017/4/1, 星期六 ,20℃,13℃,阴,北风 2级
2269,2017/4/2, 星期日 ,20℃,13℃,小雨,东北风 4级
2270,2017/4/3, 星期一 ,18℃,13℃,阴,东风 3级
2271,2017/4/4, 星期二 ,23℃,14℃,多云,东风 3级
2272,2017/4/5, 星期三 ,22℃,14℃,多云,西风 2级
2273,2017/4/6, 星期四 ,22℃,15℃,阴,北风 3级
2274,2017/4/7, 星期五 ,23℃,17℃,多云,东北风 4级
2275,2017/4/8, 星期六 ,26℃,17℃,多云,东南风 3级
2276,2017/4/9, 星期日 ,23℃,13℃,小雨,东风 5级
2277,2017/4/10, 星期一 ,21℃,13℃,阴,西风 4级
2278,2017/4/11, 星期二 ,21℃,11℃,阴,西风 2级
2279,2017/4/12, 星期三 ,22℃,12℃,多云,西南风 2级
2280,2017/4/13, 星期四 ,26℃,12℃,多云,西风 1级
2281,2017/4/14, 星期五 ,27℃,17℃,晴,东北风 4级
2282,2017/4/15, 星期六 ,26℃,15℃,多云,东北风 4级
2283,2017/4/16, 星期日 ,24℃,12℃,阴,西南风 4级
2284,2017/4/17, 星期一 ,28℃,13℃,多云,西南风 4级
2285,2017/4/18, 星期二 ,28℃,15℃,晴,南风 1级
2286,2017/4/19, 星期三 ,27℃,15℃,多云,东北风 5级
2287,2017/4/20, 星期四 ,21℃,12℃,阴,西南风 3级
2288,2017/4/21, 星期五 ,23℃,11℃,多云,西南风 3级
2289,2017/4/22, 星期六 ,24℃,13℃,多云,东南风 2级
2290,2017/4/23, 星期日 ,27℃,15℃,多云,北风 3级
2291,2017/4/24, 星期一 ,22℃,17℃,小雨,北风 2级
2292,2017/4/25, 星期二 ,24℃,15℃,小雨,东北风 2级
2293,2017/4/26, 星期三 ,20℃,14℃,小雨,东北风 2级
2294,2017/4/27, 星期四 ,23℃,12℃,多云,东北风 2级
2295,2017/4/28, 星期五 ,24℃,14℃,多云,东北风 2级
2296,2017/4/29, 星期六 ,27℃,14℃,多云,东北风 2级
2297,2017/4/30, 星期日 ,27℃,16℃,多云,东北风 2级
2298,2017/5/1, 星期一 ,29℃,19℃,阴,东北风 2级
2299,2017/5/2, 星期二 ,25℃,17℃,阴,东北风 2级
2300,2017/5/3, 星期三 ,25℃,15℃,多云,东北风 2级
2301,2017/5/4, 星期四 ,28℃,17℃,多云,东北风 2级
2302,2017/5/5, 星期五 ,21℃,13℃,小雨,东北风 2级
2303,2017/5/6, 星期六 ,24℃,13℃,多云,东北风 2级
2304,2017/5/7, 星期日 ,22℃,15℃,多云,东北风 2级
2305,2017/5/8, 星期一 ,26℃,16℃,晴,东南风 4级
2306,2017/5/9, 星期二 ,26℃,16℃,多云,西南风 2级
2307,2017/5/10, 星期三 ,27℃,17℃,阴,东北风 3级
2308,2017/5/11, 星期四 ,28℃,16℃,多云,西南风 3级
2309,2017/5/12, 星期五 ,32℃,17℃,晴,东南风 3级
2310,2017/5/13, 星期六 ,31℃,19℃,阴,东南风 2级
2311,2017/5/14, 星期日 ,30℃,18℃,多云,北风 3级
2312,2017/5/15, 星期一 ,28℃,18℃,多云,西南风 3级
2313,2017/5/16, 星期二 ,29℃,18℃,晴,西南风 2级
2314,2017/5/17, 星期三 ,30℃,19℃,多云,北风 3级
2315,2017/5/18, 星期四 ,26℃,18℃,阴,东风 4级
2316,2017/5/19, 星期五 ,29℃,20℃,多云,东北风 2级
2317,2017/5/20, 星期六 ,24℃,21℃,中雨,北风 3级
2318,2017/5/21, 星期日 ,22℃,19℃,小雨,东北风 2级
2319,2017/5/22, 星期一 ,25℃,17℃,小雨,东风 5级
2320,2017/5/23, 星期二 ,28℃,18℃,多云,西南风 2级
2321,2017/5/24, 星期三 ,27℃,16℃,阴,西南风 2级
2322,2017/5/25, 星期四 ,30℃,16℃,多云,西北风 2级
2323,2017/5/26, 星期五 ,31℃,18℃,多云,北风 3级
2324,2017/5/27, 星期六 ,31℃,20℃,晴,东北风 1级
2325,2017/5/28, 星期日 ,31℃,21℃,多云,东南风 3级
2326,2017/5/29, 星期一 ,27℃,21℃,阴,东风 3级
2327,2017/5/30, 星期二 ,31℃,22℃,多云,西风 2级
2328,2017/5/31, 星期三 ,27℃,21℃,阴,东南风 4级
2329,2017/6/1, 星期四 ,29℃,21℃,多云,西南风 2级
2330,2017/6/2, 星期五 ,29℃,21℃,小雨,东南风 2级
2331,2017/6/3, 星期六 ,27℃,19℃,小雨,东北风 4级
2332,2017/6/4, 星期日 ,24℃,18℃,小雨,西北风 2级
2333,2017/6/5, 星期一 ,28℃,20℃,小雨,北风 4级
2334,2017/6/6, 星期二 ,31℃,20℃,多云,东南风 2级
2335,2017/6/7, 星期三 ,31℃,22℃,多云,北风 3级
2336,2017/6/8, 星期四 ,27℃,21℃,小雨,西北风 2级
2337,2017/6/9, 星期五 ,27℃,21℃,小雨,东风 2级
2338,2017/6/10, 星期六 ,30℃,21℃,阴,西南风 2级
2339,2017/6/11, 星期日 ,31℃,22℃,多云,东北风 5级
2340,2017/6/12, 星期一 ,30℃,20℃,多云,西南风 4级
2341,2017/6/13, 星期二 ,24℃,19℃,小雨,西北风 2级
2342,2017/6/14, 星期三 ,19℃,16℃,大雨,东风 5级
2343,2017/6/15, 星期四 ,24℃,18℃,小雨,西南风 2级
2344,2017/6/16, 星期五 ,28℃,19℃,多云,东南风 3级
2345,2017/6/17, 星期六 ,28℃,20℃,阴,南风 2级
2346,2017/6/18, 星期日 ,29℃,21℃,多云,西南风 3级
2347,2017/6/19, 星期一 ,30℃,21℃,多云,西南风 3级
2348,2017/6/20, 星期二 ,29℃,22℃,多云,西南风 2级
2349,2017/6/21, 星期三 ,30℃,23℃,多云,西南风 2级
2350,2017/6/22, 星期四 ,29℃,22℃,小雨,西南风 3级
2351,2017/6/23, 星期五 ,31℃,25℃,阴,西南风 2级
2352,2017/6/24, 星期六 ,30℃,22℃,阴,北风 4级
2353,2017/6/25, 星期日 ,32℃,19℃,多云,南风 4级
2354,2017/6/26, 星期一 ,31℃,20℃,多云,西南风 4级
2355,2017/6/27, 星期二 ,30℃,21℃,多云,西南风 2级
2356,2017/6/28, 星期三 ,30℃,22℃,阴,西风 2级
2357,2017/6/29, 星期四 ,28℃,21℃,小雨,西风 2级
2358,2017/6/30, 星期五 ,31℃,21℃,多云,西南风 2级
2359,2017/7/1, 星期六 ,32℃,24℃,多云,东南风 1级
2360,2017/7/2, 星期日 ,33℃,23℃,小雨,西南风 2级
2361,2017/7/3, 星期一 ,34℃,24℃,多云,西风 2级
2362,2017/7/4, 星期二 ,32℃,23℃,小雨,东南风 1级
2363,2017/7/5, 星期三 ,24℃,21℃,暴雨,北风 2级
2364,2017/7/6, 星期四 ,28℃,22℃,阵雨,东风 2级
2365,2017/7/7, 星期五 ,33℃,23℃,多云,东风 2级
2366,2017/7/8, 星期六 ,31℃,23℃,多云,东风 2级
2367,2017/7/9, 星期日 ,34℃,22℃,阴,东风 2级
2368,2017/7/10, 星期一 ,34℃,24℃,晴,西南风 2级
2369,2017/7/11, 星期二 ,35℃,26℃,多云,东南风 1级
2370,2017/7/12, 星期三 ,34℃,23℃,多云,东南风 1级
2371,2017/7/13, 星期四 ,32℃,23℃,阴,西北风 2级
2372,2017/7/14, 星期五 ,30℃,23℃,阴,东南风 2级
2373,2017/7/15, 星期六 ,32℃,23℃,阴,西南风 2级
2374,2017/7/16, 星期日 ,32℃,23℃,小雨,西南风 2级
2375,2017/7/17, 星期一 ,30℃,22℃,小雨,东风 2级
2376,2017/7/18, 星期二 ,30℃,23℃,小雨,东风 2级
2377,2017/7/19, 星期三 ,30℃,23℃,小雨,南风 2级
2378,2017/7/20, 星期四 ,31℃,25℃,小雨,东南风 2级
2379,2017/7/21, 星期五 ,31℃,24℃,小雨,东北风 2级
2380,2017/7/22, 星期六 ,30℃,23℃,小雨,东南风 2级
2381,2017/7/23, 星期日 ,33℃,23℃,阵雨,东南风 2级
2382,2017/7/24, 星期一 ,33℃,24℃,阵雨,西风 1级
2383,2017/7/25, 星期二 ,33℃,24℃,小雨,南风 2级
2384,2017/7/26, 星期三 ,32℃,24℃,小雨,东南风 1级
2385,2017/7/27, 星期四 ,35℃,25℃,多云,西风 1级
2386,2017/7/28, 星期五 ,33℃,24℃,多云,东南风 1级
2387,2017/7/29, 星期六 ,35℃,24℃,晴,东风 2级
2388,2017/7/30, 星期日 ,32℃,24℃,晴,西风 1级
2389,2017/7/31, 星期一 ,33℃,25℃,阵雨,北风 2级
2390,2017/8/1, 星期二 ,32℃,26℃,阵雨,西北风 2级
2391,2017/8/2, 星期三 ,36℃,25℃,阴,北风 2级
2392,2017/8/3, 星期四 ,34℃,26℃,多云,东北风 2级
2393,2017/8/4, 星期五 ,32℃,26℃,小雨,南风 3级
2394,2017/8/5, 星期六 ,34℃,26℃,晴,北风 2级
2395,2017/8/6, 星期日 ,33℃,25℃,阴,东风 1级
2396,2017/8/7, 星期一 ,28℃,22℃,大雨,北风 4级
2397,2017/8/8, 星期二 ,33℃,21℃,晴,西风 2级
2398,2017/8/9, 星期三 ,34℃,23℃,多云,西风 2级
2399,2017/8/10, 星期四 ,33℃,23℃,多云,西北风 1级
2400,2017/8/11, 星期五 ,28℃,22℃,阴,东南风 2级
2401,2017/8/12, 星期六 ,30℃,22℃,多云,南风 2级
2402,2017/8/13, 星期日 ,33℃,24℃,多云,西风 2级
2403,2017/8/14, 星期一 ,33℃,23℃,小雨,西风 2级
2404,2017/8/15, 星期二 ,31℃,24℃,阴,西北风 2级
2405,2017/8/16, 星期三 ,31℃,24℃,小雨,西北风 1级
2406,2017/8/17, 星期四 ,31℃,24℃,中雨,北风 2级
2407,2017/8/18, 星期五 ,29℃,24℃,中雨,北风 2级
2408,2017/8/19, 星期六 ,31℃,25℃,小雨,东风 2级
2409,2017/8/20, 星期日 ,32℃,25℃,小雨,北风 1级
2410,2017/8/21, 星期一 ,31℃,24℃,小雨,东北风 2级
2411,2017/8/22, 星期二 ,30℃,24℃,小雨,西北风 2级
2412,2017/8/23, 星期三 ,33℃,24℃,多云,东北风 3级
2413,2017/8/24, 星期四 ,33℃,23℃,多云,东北风 2级
2414,2017/8/25, 星期五 ,26℃,22℃,中雨,北风 2级
2415,2017/8/26, 星期六 ,29℃,22℃,中雨,北风 2级
2416,2017/8/27, 星期日 ,30℃,23℃,小雨,北风 3级
2417,2017/8/28, 星期一 ,31℃,23℃,阴,北风 2级
2418,2017/8/29, 星期二 ,26℃,22℃,小雨,东北风 3级
2419,2017/8/30, 星期三 ,24℃,20℃,阴,东北风 2级
2420,2017/8/31, 星期四 ,26℃,20℃,小雨,西南风 1级
2421,2017/9/1, 星期五 ,23℃,20℃,中雨,东北风 2级
2422,2017/9/2, 星期六 ,27℃,19℃,阴,东南风 2级
2423,2017/9/3, 星期日 ,24℃,20℃,小雨,西南风 2级
2424,2017/9/4, 星期一 ,23℃,19℃,阴,东北风 2级
2425,2017/9/5, 星期二 ,25℃,20℃,阴,南风 1级
2426,2017/9/6, 星期三 ,30℃,17℃,晴,南风 1级
2427,2017/9/7, 星期四 ,29℃,20℃,多云,东风 1级
2428,2017/9/8, 星期五 ,28℃,22℃,阴,东风 2级
2429,2017/9/9, 星期六 ,27℃,21℃,阴,西南风 2级
2430,2017/9/10, 星期日 ,30℃,21℃,多云,东南风 2级
2431,2017/9/11, 星期一 ,31℃,19℃,晴,东南风 1级
2432,2017/9/12, 星期二 ,31℃,21℃,多云,西风 2级
2433,2017/9/13, 星期三 ,26℃,22℃,阴,北风 1级
2434,2017/9/14, 星期四 ,24℃,21℃,小雨,北风 2级
2435,2017/9/15, 星期五 ,23℃,20℃,小雨,北风 2级
2436,2017/9/16, 星期六 ,24℃,21℃,小雨,北风 2级
2437,2017/9/17, 星期日 ,23℃,21℃,阴,东北风 1级
2438,2017/9/18, 星期一 ,25℃,19℃,小雨,东风 2级
2439,2017/9/19, 星期二 ,27℃,18℃,阴,东南风 2级
2440,2017/9/20, 星期三 ,28℃,19℃,多云,东南风 2级
2441,2017/9/21, 星期四 ,29℃,19℃,多云,北风 1级
2442,2017/9/22, 星期五 ,23℃,20℃,小雨,北风 2级
2443,2017/9/23, 星期六 ,22℃,20℃,小雨,北风 1级
2444,2017/9/24, 星期日 ,25℃,20℃,阴,西北风 1级
2445,2017/9/25, 星期一 ,24℃,21℃,晴,南风 1级
2446,2017/9/26, 星期二 ,24℃,19℃,阴,东北风 2级
2447,2017/9/27, 星期三 ,25℃,17℃,阴,西风 2级
2448,2017/9/28, 星期四 ,25℃,17℃,多云,南风 2级
2449,2017/9/29, 星期五 ,23℃,18℃,小雨,东风 2级
2450,2017/9/30, 星期六 ,23℃,19℃,阴,北风 2级
2451,2017/10/1, 星期日 ,27℃,20℃,多云,西风 2级
2452,2017/10/2, 星期一 ,24℃,17℃,小雨,东北风 1级
2453,2017/10/3, 星期二 ,20℃,15℃,阴,东北风 3级
2454,2017/10/4, 星期三 ,20℃,14℃,多云,东南风 2级
2455,2017/10/5, 星期四 ,22℃,17℃,小雨,北风 2级
2456,2017/10/6, 星期五 ,21℃,16℃,阴,西风 2级
2457,2017/10/7, 星期六 ,21℃,17℃,阴,东风 1级
2458,2017/10/8, 星期日 ,22℃,18℃,小雨,北风 2级
2459,2017/10/9, 星期一 ,19℃,14℃,小雨,东北风 2级
2460,2017/10/10, 星期二 ,17℃,13℃,小雨,北风 1级
2461,2017/10/11, 星期三 ,16℃,13℃,小雨,东风 1级
2462,2017/10/12, 星期四 ,20℃,14℃,多云,北风 微风
2463,2017/10/13, 星期五 ,18℃,14℃,小雨,北风 2级
2464,2017/10/14, 星期六 ,16℃,14℃,小雨,东风 2级
2465,2017/10/15, 星期日 ,18℃,12℃,阴,南风 1级
2466,2017/10/16, 星期一 ,19℃,13℃,小雨,东风 1级
2467,2017/10/17, 星期二 ,17℃,13℃,阴,东风 2级
2468,2017/10/18, 星期三 ,18℃,13℃,阴,东南风 2级
2469,2017/10/19, 星期四 ,22℃,13℃,多云,北风 2级
2470,2017/10/20, 星期五 ,19℃,15℃,阴,西风 2级
2471,2017/10/21, 星期六 ,21℃,15℃,小雨,西北风 1级
2472,2017/10/22, 星期日 ,19℃,14℃,中雨,北风 2级
2473,2017/10/23, 星期一 ,20℃,13℃,小雨,东风 2级
2474,2017/10/24, 星期二 ,17℃,14℃,小雨,东风 2级
2475,2017/10/25, 星期三 ,19℃,15℃,小雨,西南风 1级
2476,2017/10/26, 星期四 ,16℃,0℃,小雨,无持续风向 小于3级
2477,2017/10/27, 星期五 ,15℃,0℃,小雨,无持续风向 小于3级
2478,2017/10/28, 星期六 ,14℃,0℃,阴,无持续风向 小于3级
2479,2017/10/29, 星期日 ,13℃,0℃,小雨,无持续风向 小于3级
2480,2017/10/30, 星期一 ,14℃,12℃,小雨,东北风 1级
2481,2017/10/31, 星期二 ,15℃,12℃,小雨,西北风 1级
2482,2017/11/1, 星期三 ,20℃,13℃,多云,西南风 1级
2483,2017/11/2, 星期四 ,20℃,13℃,多云,西南风 2级
2484,2017/11/3, 星期五 ,22℃,15℃,多云,东南风 1级
2485,2017/11/4, 星期六 ,21℃,14℃,多云,东南风 2级
2486,2017/11/5, 星期日 ,21℃,14℃,小雨,北风 1级
2487,2017/11/6, 星期一 ,20℃,14℃,多云,北风 2级
2488,2017/11/7, 星期二 ,23℃,13℃,晴,西北风 1级
2489,2017/11/8, 星期三 ,20℃,13℃,多云,北风 2级
2490,2017/11/9, 星期四 ,19℃,14℃,阴,北风 2级
2491,2017/11/10, 星期五 ,19℃,13℃,晴,东北风 1级
2492,2017/11/11, 星期六 ,19℃,12℃,晴,北风 1级
2493,2017/11/12, 星期日 ,16℃,11℃,晴,西北风 2级
2494,2017/11/13, 星期一 ,18℃,9℃,阴,北风 1级
2495,2017/11/14, 星期二 ,17℃,14℃,多云,北风 1级
2496,2017/11/15, 星期三 ,15℃,13℃,阴,北风 2级
